Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2016-12-08,771.87,773.79,765.19,767.33,3189608.0,0.0,1.0,771.87,773.79,765.19,767.33,3189608.0
2016-12-07,764.55,770.42,755.82,770.42,3684906.0,0.0,1.0,764.55,770.42,755.82,770.42,3684906.0
2016-12-06,763.99,768.24,757.25,764.72,3794746.0,0.0,1.0,763.99,768.24,757.25,764.72,3794746.0
2016-12-05,745.0,761.49,742.0,759.36,4314723.0,0.0,1.0,745.0,761.49,742.0,759.36,4314723.0
2016-12-02,743.4,748.4903,736.7,740.34,3561307.0,0.0,1.0,743.4,748.4903,736.7,740.34,3561307.0
2016-12-01,752.41,753.37,738.03,743.65,4665993.0,0.0,1.0,752.41,753.37,738.03,743.65,4665993.0
2016-11-30,762.0,768.09,750.25,750.57,4625946.0,0.0,1.0,762.0,768.09,750.25,750.57,4625946.0
2016-11-29,768.0,769.89,761.32,762.52,3272344.0,0.0,1.0,768.0,769.89,761.32,762.52,3272344.0
2016-11-28,776.99,777.0,764.24,766.77,4438828.0,0.0,1.0,776.99,777.0,764.24,766.77,4438828.0
2016-11-25,786.5,786.75,777.9,780.37,1837068.0,0.0,1.0,786.5,786.75,777.9,780.37,1837068.0
2016-11-23,781.73,781.75,773.12,780.12,3540263.0,0.0,1.0,781.73,781.75,773.12,780.12,3540263.0
2016-11-22,788.17,792.4,781.0,785.33,5311320.0,0.0,1.0,788.17,792.4,781.0,785.33,5311320.0
